,Tag Combination,Count
0,"('explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Flat', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Vegetable', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",16
1,"('explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Flat', 'taste profile_mapped_clean_Savory', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Vegetable', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",15
2,"('explicitly claimed health or lifestyle benefits_mapped_clean_Nutritious', 'ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Herbs and Spices', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'preparation or cooking method_mapped_clean_Baked', 'shapes mentioned_mapped_clean_Flat', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Savory', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Vegetable', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_As a treat')",5
3,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Twisted', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Pretzels')",4
4,"('ingredients mentioned in the flavor names_mapped_clean_Caramel', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Spicy', 'taste profile_mapped_clean_Sweet', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Popcorn', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Entertaining guests')",4
5,"('calorie count specified_mapped_clean_Specified', 'multipack or single serving_mapped_clean_Multipack', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_Product Mix', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Potato', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_For breakfast, lunch or dinner', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Lunchbox friendly', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_On the go')",4
6,"('one product or product mix_mapped_clean_One Product', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Dips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Perfect for dipping')",4
9,"('ingredients mentioned in the flavor names_mapped_clean_Caramel', 'ingredients mentioned in the flavor names_mapped_clean_Chocolate', 'ingredients mentioned in the flavor names_mapped_clean_Nuts', 'ingredients mentioned in the flavor names_mapped_clean_Salt', 'ingredients mentioned in the flavor names_mapped_clean_Vanilla', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Salty', 'taste profile_mapped_clean_Sweet', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Corn', 'types of snack does it describe_mapped_clean_Popcorn', 'types of snack does it describe_mapped_clean_Potato', 'types of snack does it describe_mapped_clean_Pretzels')",3
8,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Jalapeno', 'ingredients mentioned in the flavor names_mapped_clean_Ranch', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'shapes mentioned_mapped_clean_Bites', 'taste profile_mapped_clean_Savory', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crispy', 'textures described_mapped_clean_Crunchy', 'textures described_mapped_clean_smooth', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Tortilla', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise')",3
7,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'ingredients mentioned in the flavor names_mapped_clean_Sweet Chili', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'taste profile_mapped_clean_Spicy', 'textures described_mapped_clean_Crunchy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs')",3
34,"('ingredients mentioned in the flavor names_mapped_clean_Cheese', 'one or multiple flavors_mapped_clean_Multiple Flavours', 'one product or product mix_mapped_clean_One Product', 'taste profile_mapped_clean_Cheesy', 'types of snack does it describe_mapped_clean_Chips', 'types of snack does it describe_mapped_clean_Puffs', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_At a party', 'when, where or why does it explicitly suggest using or having the snack_mapped_clean_Entertaining guests')",2
