slice_id,short_text,full_text
45565,"Introducing Mac n’ Cheetos, the cheesy snack that combines two cheese-tastic favorites in one fun and filling snack.","Crunchy Mac n’ Cheetos are elbow shaped puffs stuffed with a real cheese filling, and coated in delicious flavors such as Original Cheetos and Flamin’ Hot. They are a playful and satiating snack made for munching on your own or sharing with fellow cheese lovers. 
"
45935,"Introducing Lay’s Potato Nests, beautiful real-potato cracker nests that create a simply sophisticated snacking experience.","Lay’s Potato Nests are thin and crispy two-bite crackers made from real potato shreds, baked to a golden brown, and lightly seasoned with grown-up flavors. Delicious on their own or when topped with your favorite cheeses and spreads, they’re the perfect snack for you and your guests. Available in delicious flavors like Sea Salt & Pepper, Garlic & Rosemary, and Parmesan & Herb."
46016,"Introducing Tostitos Toppers, the satisfying chip with a real-cheese taste that everyone will love.","Each Tostitos Topper is a bite-sized white corn tortilla chip with REAL shredded cheese baked right on top, with varieties like Cheddar, Cheddar Jalapeño or Pepper Jack. Crispy baked and then lightly seasoned, they’re perfect just as they are or ready for any dip."
45570,"Introducing Cheetos Duos, the classic Cheetos you love made even more fun and flavorful by combining two delicious taste experiences in one.","Cheetos Duos are Cheetos puffs with two layers of flavor paired perfectly to double the fun. With flavors such as Flamin’ Hot & Ranch or Original Cheetos & Salsa, they are the slightly outrageous snack that will keep you coming back for more.
"
45709,"Introducing Matador Thin Sliced Jerky Chips, a salty and crispy meat snack that delivers big protein to fill you up and even bigger flavor to satisfy your cravings.","Cut extra-thin and baked to crispy perfection, each bag of Matador Thin Sliced Jerky Chips is made with smoky, all-natural cured meats like pepperoni, salami, or bacon. Perfect for a tasty snack that gives you all the filling protein you need, without the stuck-in-your-teeth chewiness of jerky."
45950,"Introducing Lay’s Reduced Fat Poppables, the light and crispy way to snack throughout your day.","Lay’s Reduced Fat Poppables are light, airy and perfectly air-popped bites with 50% less fat and lightly seasoned with delicious flavors like Sea Salt, Creamy Jalapeno, and Roasted Garlic. Because these crispy chips are air-popped with wholesome goodness, you can snack away without the guilt.
"
45940,"Introducing new Lay’s Sweet & Salty Poppables, the sweet & salty wholesome way to snack throughout your day.","Lay’s Sweet & Salty Poppables are delicious light, airy and perfectly popped potato bites that are gently dusted with sweet flavors like Cinnamon Sugar or Salted Caramel.  With a light crispy bite and a slightly indulgent flavor, they’re the perfect way to add a little sweet and salty reward to your day. 
"
46021,"Introducing Tostitos Twists, a brand new fun-to-eat snack that puts a twist on your favorite tortilla chip.","Tostitos Twists are unique tortilla crisps that take two complementary flavored tortilla strips and twist them together for a brand new tortilla chip snack. Flavor combos like Cheddar & Jalapeño, White Cheddar & Parmesan, or Chile & Lime bring a new “twist” to your tortilla chip snack time. And with the convenient canister, you can take the fun and flavor anywhere you go."
45575,"Introducing Cheetos Popcorn, combining the delicious taste of Cheetos with a classic family favorite - popcorn!","Cheetos Popcorn is seasoned with your favorite tasty Cheetos flavors from classic Mellow Cheddar, to exciting Flamin’ Hot, to indulgent Sweetos Caramel. Ready to go right out of the bag, it’s popcorn with an added boost of mischievous flavor and fun.
"
45945,"Introducing Lay’s Poppables Scoops, the crispy potato chip that’s perfectly designed for dips and dip lovers.","Each Lay’s Poppables Scoop is a crispy potato chip in a perfectly scoopable shape that’s lightly seasoned with flavors designed to complement your favorite dips, like Sea Salt or White Cheddar & Chive. With a light texture but a sturdy shape, they’re the perfect chip to scoop and dip. 
"
